1.920000000000000000e+03,1.920000000000000000e+03,1.500000000000000000e+03
4.214232360207251077e+03,3.799423862863310660e+03,1.132083675959338052e+03
1.530492520970630721e+03,1.397413099834888499e+03,7.121810231154247504e+02
7.577880861413971161e+02,6.993288910374876650e+02,4.633283376536389824e+02
4.299406793430338780e+02,4.002622447459599471e+02,3.063463065057749759e+02
2.609456739502260803e+02,2.449111685266400968e+02,2.040807701559516829e+02
1.641099561200825292e+02,1.552725529746329016e+02,1.364234819676856318e+02
1.052049426573777282e+02,1.003673913751314188e+02,9.134097270692934956e+01
6.815752248054479878e+01,6.558286988905908288e+01,6.120264759853437653e+01
4.445322203044122489e+01,4.313806184078780603e+01,4.102492858417303268e+01
2.915704993390066235e+01,2.851167846895896574e+01,2.750685105837278854e+01
1.922797567867063506e+01,1.891988346548788869e+01,1.844767576575291912e+01
1.274222434471897536e+01,1.259689901484626162e+01,1.237581892286359420e+01
8.478507495448889486e+00,8.409919492640723249e+00,8.305943121182172817e+00
5.660064101219989041e+00,5.627370720342590005e+00,5.577889189263514069e+00
3.789090555482512279e+00,3.773229537338797179e+00,3.749240407272376618e+00
2.543280465434815785e+00,2.535393416954991874e+00,2.523466972367303551e+00
1.711982159742411858e+00,1.707931849329603180e+00,1.701808577754430285e+00
1.156450024793180598e+00,1.154294941731072388e+00,1.151035189192126884e+00
7.853337958756175796e-01,7.839453084433899432e-01,7.818409889869768481e-01
5.375666986996094909e-01,5.362923471661893426e-01,5.343628027427789196e-01
