-1.442374639107008576e+08,-1.421735127366319001e+08,-1.360933480085859597e+08,-1.263206779265889972e+08,-1.133571555491605401e+08,-9.782558788102877140e+07,-8.039042859593096375e+07,-6.165555439450021088e+07,-4.203932499723774195e+07,-2.162692677257141098e+07,0.000000000000000000e+00
-6.481071690496063232e+07,-6.388330526602085680e+07,-6.115125753885740787e+07,-5.676003151043915749e+07,-5.093504421905115247e+07,-4.395615304430010170e+07,-3.612192923312208802e+07,-2.770372386179232597e+07,-1.888952623393723741e+07,-9.717614714548582211e+06,0.000000000000000000e+00
-2.912176575913833827e+07,-2.870504038289412111e+07,-2.747741627304535359e+07,-2.550425606059439853e+07,-2.288685271171455830e+07,-1.975096239950400218e+07,-1.623075052444129996e+07,-1.244815088354261406e+07,-8.487637988220389932e+06,-4.366412530843661167e+06,0.000000000000000000e+00
-1.308554340446797945e+07,-1.289828826715924405e+07,-1.234665710981679894e+07,-1.146002209403088689e+07,-1.028390148191503063e+07,-8.874806625300720334e+06,-7.293027750610031188e+06,-5.593358539406020194e+06,-3.813759504621102475e+06,-1.961960162463230779e+06,0.000000000000000000e+00
-5.879908432809578255e+06,-5.795763674957504496e+06,-5.547883671959879808e+06,-5.149468089333990589e+06,-4.620972549080296420e+06,-3.987792898889956065e+06,-3.277023189035283402e+06,-2.513287356943259947e+06,-1.713644619452014100e+06,-8.815685727503027301e+05,0.000000000000000000e+00
-2.642143723432999104e+06,-2.604331292102590203e+06,-2.492940803811586462e+06,-2.313904525928434450e+06,-2.076415738293126691e+06,-1.791887984556065407e+06,-1.472498024052485358e+06,-1.129312484212414362e+06,-7.699982135061831214e+05,-3.961163349254889763e+05,0.000000000000000000e+00
-1.187279218087380053e+06,-1.170286480804611696e+06,-1.120228253000808414e+06,-1.039770929110030062e+06,-9.330466408575763926e+05,-8.051854687627813546e+05,-6.616605382429265883e+05,-5.074460003182796063e+05,-3.459878969182402943e+05,-1.779879107886137208e+05,0.000000000000000000e+00
-5.335376047684267396e+05,-5.259005887450346490e+05,-5.034031138698236900e+05,-4.672438414366756333e+05,-4.192803459653481841e+05,-3.618188237464085687e+05,-2.973196848041403573e+05,-2.280190282774220686e+05,-1.554660012185801461e+05,-7.997604081021487946e+04,0.000000000000000000e+00
-2.397732226467280416e+05,-2.363405593297301966e+05,-2.262285323278497963e+05,-2.099761190020758368e+05,-1.884185766662215756e+05,-1.625928851551722619e+05,-1.336053664204315573e+05,-1.024614811529672006e+05,-6.985780243335556588e+04,-3.593616640922527586e+04,0.000000000000000000e+00
-1.077634130038227013e+05,-1.062202599412844138e+05,-1.016744481330436829e+05,-9.436841320406619343e+04,-8.467785948543938866e+04,-7.306922744858863007e+04,-6.004014811318046122e+04,-4.604288442871250300e+04,-3.139075962978968164e+04,-1.614757256508712999e+04,0.000000000000000000e+00
-4.843889186769273510e+04,-4.774500039123046008e+04,-4.570097070345881366e+04,-4.241590875041494292e+04,-3.805889684613295685e+04,-3.283985227860244777e+04,-2.698272935811018397e+04,-2.069106490796517392e+04,-1.410586719760724554e+04,-7.255848318098785057e+03,0.000000000000000000e+00
-2.177684107990848861e+04,-2.146471494566513138e+04,-2.054529133411279690e+04,-1.906771040273272956e+04,-1.710812502715381197e+04,-1.476107972089258510e+04,-1.212744112298954678e+04,-9.298880053541306552e+03,-6.338905137128903334e+03,-3.260447994142146854e+03,0.000000000000000000e+00
-9.792904697385651161e+03,-9.652429076542881376e+03,-9.238647250890657233e+03,-8.573716869680050877e+03,-7.691975810405370794e+03,-6.636054871918076969e+03,-5.451435544786127139e+03,-4.179452858898926934e+03,-2.848743308317775700e+03,-1.465137853371903248e+03,0.000000000000000000e+00
-4.405557563948739698e+03,-4.342284759142154144e+03,-4.155919417726382562e+03,-3.856469598746875363e+03,-3.459444867391029220e+03,-2.984100495155646058e+03,-2.450979340081388273e+03,-1.878751407054215633e+03,-1.280351088173805920e+03,-6.584120831889584906e+02,0.000000000000000000e+00
-1.983111952986330607e+03,-1.954579063627656978e+03,-1.870543984465599124e+03,-1.735538473199948385e+03,-1.556585429190031391e+03,-1.342403848244218580e+03,-1.102295759325241306e+03,-8.447151431713061811e+02,-5.755188328330216336e+02,-2.958993961261220420e+02,0.000000000000000000e+00
-8.934608966760494013e+02,-8.805714779280041284e+02,-8.426138468615614556e+02,-7.816476120425807039e+02,-7.008645645234156518e+02,-6.042273430068004245e+02,-4.959635650752880451e+02,-3.799154244862409087e+02,-2.587447545323769305e+02,-1.329935574678691523e+02,0.000000000000000000e+00
-4.030607667602503739e+02,-3.972230829415190669e+02,-3.800347383314241370e+02,-3.524368324330658311e+02,-3.158877943009570117e+02,-2.721982773650389049e+02,-2.233000121843073202e+02,-1.709486171300431749e+02,-1.163603669986511733e+02,-5.978291955410493586e+01,0.000000000000000000e+00
-1.821813378858509509e+02,-1.795273992984470226e+02,-1.717151050446995271e+02,-1.591778140728685855e+02,-1.425871060396148380e+02,-1.227767534243397591e+02,-1.006362824892615180e+02,-7.697412308522838487e+01,-5.235034730326671593e+01,-2.687899697186604442e+01,0.000000000000000000e+00
-8.257958463513679703e+01,-8.136638149991892988e+01,-7.779638388060047305e+01,-7.207134797147455174e+01,-6.450393688065638287e+01,-5.548232480652289667e+01,-4.542064288472855083e+01,-3.469526670579691086e+01,-2.356694550328814586e+01,-1.208877301254256409e+01,0.000000000000000000e+00
