2.164376455809906929e+03,2.164376455809906929e+03,2.164376455809906929e+03,2.164376455809906929e+03,2.164376455809899653e+03,2.164376455807893763e+03,2.164376455387161059e+03,2.164376393810253830e+03,8.949170594042167068e+03
6.770455771465751241e+03,6.770455771465832186e+03,6.770455771465914040e+03,6.770455771531544087e+03,6.770455792575654414e+03,6.770461115222815351e+03,6.771488030094207716e+03,6.911370728408046489e+03,4.692651484241653634e+03
6.549664093782586860e+03,6.549664093782805139e+03,6.549664093783021599e+03,6.549664093921464882e+03,6.549664128166407863e+03,6.549670479601754778e+03,6.550544600703834476e+03,6.643454875446244841e+03,3.145989520938251189e+03
4.777486258648525109e+03,4.777486258649332740e+03,4.777486258650140371e+03,4.777486259022308332e+03,4.777486325484144800e+03,4.777495275245911216e+03,4.778393999086307304e+03,4.847424681911828884e+03,2.109231002495134362e+03
3.657303023741637389e+03,3.657303023746145300e+03,3.657303023750640477e+03,3.657303025291817903e+03,3.657303227875498123e+03,3.657323429016523733e+03,3.658812796998690374e+03,3.736665395936420282e+03,1.414270984684509585e+03
2.626263548987223658e+03,2.626263549018439335e+03,2.626263549049555422e+03,2.626263556179565512e+03,2.626264177124672187e+03,2.626304740621241763e+03,2.628261456512012955e+03,2.692793153366727438e+03,9.484253535527586791e+02
1.666675796257395632e+03,1.666675796518570223e+03,1.666675796778413087e+03,1.666675834882325944e+03,1.666677979082429829e+03,1.666769969863183633e+03,1.669714361370468396e+03,1.735188420150022921e+03,6.361596886470249501e+02
9.784367657647271699e+02,9.784367666387515783e+02,9.784367675064793275e+02,9.784368573075714721e+02,9.784404542206377755e+02,9.785508377722592286e+02,9.810944623653620056e+02,1.018558030883433844e+03,4.268417537720621340e+02
6.596860452303001239e+02,6.596860498769555079e+02,6.596860544758092146e+02,6.596863870798563312e+02,6.596957556690945239e+02,6.598978609183347999e+02,6.631286799845423729e+02,6.927318511127230067e+02,2.865317460305934674e+02
3.714690779602441353e+02,3.714690859342743465e+02,3.714690938025703986e+02,3.714695323305695638e+02,3.714791041044102826e+02,3.716390385908918574e+02,3.735887243666085737e+02,3.851549899049629175e+02,1.924791351820711611e+02
2.372855780869213902e+02,2.372855896898377921e+02,2.372856011063346102e+02,2.372861216153290229e+02,2.372954320110719948e+02,2.374217493783775410e+02,2.386198642688648306e+02,2.420939028779829130e+02,1.294337847483170094e+02
1.472014517619300875e+02,1.472014606582599754e+02,1.472014693940743655e+02,1.472018204357935929e+02,1.472073302812480051e+02,1.472713906979155070e+02,1.477458740973257250e+02,1.473086754570369692e+02,8.717322254323036645e+01
9.314113346883638656e+01,9.314113714821678514e+01,9.314114075726260467e+01,9.314127560005199769e+01,9.314320431130184375e+01,9.316210370621621450e+01,9.323672133110660809e+01,9.163414242497313467e+01,5.884512054042454565e+01
5.893528383218007605e+01,5.893528436770920820e+01,5.893528489159558603e+01,5.893530017945030153e+01,5.893541602006222035e+01,5.893398510710583338e+01,5.886449837386361139e+01,5.738969819047207466e+01,3.985622590180144442e+01
3.723724655746275403e+01,3.723724644340533985e+01,3.723724633007326190e+01,3.723723764508254419e+01,3.723700959302977509e+01,3.723242672244094109e+01,3.715955088198064971e+01,3.621132287369566427e+01,2.712758917347372289e+01
2.368300581226582580e+01,2.368300575447541334e+01,2.368300569716750914e+01,2.368300133566831178e+01,2.368288159729990383e+01,2.368039737438794390e+01,2.364088936954992448e+01,2.315435947197078903e+01,1.859532881577015573e+01
