6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02,6.780454915285358264e-02
4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02,4.545404530826255285e-02
3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02,3.047205454223651452e-02
2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02,2.042932580224833192e-02
1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02,1.369748341093607671e-02
9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03,9.184994509286939154e-03
6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03,6.160182740998206528e-03
4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03,4.132590777229756471e-03
2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03,2.773455238734984663e-03
1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03,1.862399442002504301e-03
1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03,1.251700478395746967e-03
8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04,8.423367209969521985e-04
5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04,5.679319882920692017e-04
3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04,3.839929952329332210e-04
