1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.920000000000000000e+04,1.500000000000000000e+04
4.655067054211087907e+02,4.655067054072354722e+02,4.655067053679580908e+02,4.655067052930131695e+02,4.655067047307222765e+02,4.655066988737172551e+02,4.655066617623338630e+02,4.655065180505072249e+02,4.655064751746057254e+02,4.655106310671790197e+02,4.655458499698882520e+02,4.649481170424622860e+02,4.452024245290550084e+02,1.656594557302341400e+03,1.005571594240938430e+04
3.143301433744834503e+04,3.143301433745160466e+04,3.143301433748068666e+04,3.143301433749739226e+04,3.143301433865031868e+04,3.143301435331627363e+04,3.143301446779967227e+04,3.143301506615107428e+04,3.143301675102736772e+04,3.143301350121275027e+04,3.143288639543141471e+04,3.143066416593512986e+04,3.142222199577229185e+04,3.182979797656309165e+04,6.741583393070535749e+03
3.416242393995868770e+04,3.416242393996930332e+04,3.416242394003133086e+04,3.416242394031635922e+04,3.416242394005246751e+04,3.416242392204345379e+04,3.416242372848730884e+04,3.416242244140456023e+04,3.416241695815363346e+04,3.416240457375125698e+04,3.416242545820129453e+04,3.416419523902164656e+04,3.420830544944046414e+04,3.387219495754058153e+04,4.520052163610972457e+03
1.719595284888636525e+04,1.719595284885841102e+04,1.719595284865356007e+04,1.719595284756374895e+04,1.719595284326729598e+04,1.719595284115597678e+04,1.719595299417058050e+04,1.719595459126037531e+04,1.719596398938841230e+04,1.719599815772758302e+04,1.719612906675242630e+04,1.719829269858202679e+04,1.722617347520110343e+04,1.685344985992983493e+04,3.030913104588276838e+03
9.169777219392906773e+03,9.169777219441410125e+03,9.169777219844840147e+03,9.169777222384889683e+03,9.169777236471378274e+03,9.169777296825506710e+03,9.169777423685824033e+03,9.169776693802970840e+03,9.169767045476799467e+03,9.169718076576871681e+03,9.169721130269730565e+03,9.172426284418717842e+03,9.198183160183660220e+03,8.964177556423921487e+03,2.032712385063717193e+03
5.667254799352684131e+03,5.667254799290385563e+03,5.667254798669721822e+03,5.667254794275582753e+03,5.667254765856192535e+03,5.667254605289407664e+03,5.667253868276790854e+03,5.667251580813359396e+03,5.667251576790457875e+03,5.667316691826323222e+03,5.667972548233030466e+03,5.673081511744016098e+03,5.699715822916977231e+03,5.490676308914382389e+03,1.363597623059133866e+03
3.721445992930067860e+03,3.721445992982794451e+03,3.721445993612969687e+03,3.721445998703407440e+03,3.721446036262590496e+03,3.721446284753246346e+03,3.721447724989093331e+03,3.721454890893720403e+03,3.721485747046316646e+03,3.721617634673812518e+03,3.722373011028967539e+03,3.727605063045327370e+03,3.749489197983485610e+03,3.506440206591529204e+03,9.150758089021096566e+02
2.473218346445897623e+03,2.473218346473647671e+03,2.473218346459707391e+03,2.473218344792367589e+03,2.473218323895157937e+03,2.473218140348676570e+03,2.473216873529333952e+03,2.473210173771308291e+03,2.473188030051625901e+03,2.473209823532100017e+03,2.474151107682367183e+03,2.481189456808028808e+03,2.497377229170360806e+03,2.206032516627786663e+03,6.144220995844012805e+02
1.644233022439633714e+03,1.644233022236640181e+03,1.644233020770845314e+03,1.644233013189101939e+03,1.644232981710859576e+03,1.644232921492384548e+03,1.644233526341483412e+03,1.644242966540907219e+03,1.644324884404663408e+03,1.644857619858566522e+03,1.647505780525499631e+03,1.656031298169791853e+03,1.648838090539547466e+03,1.336955907194757856e+03,4.128876104770056372e+02
